"","sla_id","folder","jitter","satisfied_count","tolerating_count","total","apdex","jitter_above","jitter_above_sla","mean_above_sla"
"1","00161b83-24a9-4445-96aa-2c4c20f35617","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000892253319551812,12539,393,12991,0.980332537910861,0.0011244420079881,0.00209734513274336,0.0170973451327434
"2","0098a4ab-5f7a-463b-9fd3-ebd018780a18","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.00213038780063354,96352,39,96411,0.999590295713145,1.98368112611319,1.01240677966102,1.02740677966102
"3","009d830f-76ae-4afb-97ae-2253e515ef34","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000978608022418072,49391,11,49408,0.999767244170985,0.00156401384083045,0.00311764705882353,0.0191176470588235
"4","009f2be0-a76c-447b-b7c9-2f40c3737fa3","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000972038295873174,808,1,811,0.99691738594328,0.0157777777777778,0.0143333333333333,0.0253333333333333
"5","00bf7916-eefb-4c6e-bb4c-785f1eaca10e","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000465187176817007,0,0,9440,0,0.000465187176817007,0.00530572033898305,0.0203057203389831
"6","00e610b7-d94e-46e3-87aa-0652dd3162c6","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000390012825397347,0,0,12325,0,0.000390012825397347,0.00523902636916836,0.0202390263691684
"7","00f61e15-cb10-467e-8813-9f325daa56c2","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.00148201821926816,87261,274,87761,0.99586376636547,0.00185976,0.00307,0.01407
"8","013cb7bd-746b-41c5-bca0-4c5ffbb73d38","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.0028778185899398,383,6,396,0.974747474747475,0.0103313609467456,0.0109230769230769,0.0269230769230769
"9","01bb78dc-f1ef-41d8-8a1c-a264a0a22e8e","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.00183186338900357,217,0,219,0.990867579908676,5e-04,0.0745,0.0895
"10","01f56cba-1959-4591-a8b8-fefa03dfb0e2","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57",0.000492494678646218,0,0,10775,0,0.000492494678646218,0.00432761020881671,0.0203276102088167
